City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,sultanah,24.4926,39.5857,32.25,11,0,2.57,SA,1727656271
303,cabo san lucas,22.8909,-109.9124,27.64,89,100,3.13,MX,1727656037
304,gebeit,21.0667,36.3167,25.3,45,7,2.3,SD,1727656275
305,port alfred,-33.5906,26.891,12.5,56,2,11.57,ZA,1727656276
306,atafu village,-8.5421,-172.5159,27.72,78,24,4.01,TK,1727656278
307,hilo,19.7297,-155.09,27.85,74,0,4.63,US,1727656039
308,furstenwalde,52.3667,14.0667,8.79,66,100,2.38,DE,1727656281
309,la sarre,48.8002,-79.1996,9.33,87,0,2.64,CA,1727656283
310,labrador city,52.9463,-66.9114,6.95,77,20,6.71,CA,1727656284
311,grand baie,-20.0182,57.5802,22.47,76,0,0.89,MU,1727656286
312,kahramanmaras,38.0,37.0,15.03,48,0,2.07,TR,1727656289
313,concepcion,-36.827,-73.0498,11.89,94,100,6.17,CL,1727656291
314,beaconsfield,45.4334,-73.8659,18.88,89,0,2.78,CA,1727656292
315,pechora,65.1472,57.2244,10.31,82,100,7.32,RU,1727656294
316,akhmet'a,42.0311,45.2075,9.72,49,0,1.96,GE,1727656295
317,egilsstadir,65.2653,-14.3948,4.95,65,75,9.26,IS,1727656295
318,kenora,49.8167,-94.4337,20.54,45,20,6.71,CA,1727656260
319,tadine,-21.55,167.8833,25.11,72,94,4.96,NC,1727656300
320,swift current,50.2834,-107.8014,20.45,37,75,5.14,CA,1727656302
321,almeirim,-1.5233,-52.5817,29.47,50,16,3.1,BR,1727656304
322,at taj,24.2049,23.2857,23.75,35,0,3.79,LY,1727656305
323,ninh binh,20.2539,105.975,28.0,84,99,0.63,VN,1727656307
324,paita,-5.0892,-81.1144,17.87,89,100,6.88,PE,1727656308
325,las tablas,7.7667,-80.2833,23.99,99,100,0.69,PA,1727656310
326,urgup,38.6304,34.9116,16.95,56,0,2.7,TR,1727656312
327,mumford,5.2618,-0.759,24.36,86,100,3.93,GH,1727656313
